experiment,accuracy_mean,accuracy_std,context_rows,f1_score_mean,f1_score_std,n_chunks,n_estimators,n_features,n_runs,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,runtime_seconds_mean,seeds,test_rows
ablation,0.7726,0.013520355024924468,mixed,0.7650351286891169,0.017286901601275276,3,2,168,5,0.9273604377392003,0.0024753229588217436,0.6513181019332162,0.023761608128162498,0.9583793768527844,0.002404324795979658,946.568,42,1000
baseline,0.7618,0.0214177496483641,mixed,0.7482416681652192,0.023640753881080747,-,2,122,6,0.9395065863106907,0.028559455629350104,0.6218720847562805,0.023349043628904765,0.9572265095947318,0.006028895785955421,410.715,"123,2024,42",mixed
comparison,,,mixed,,,mixed,2,mixed,3,,,,,,,,?,mixed
enhanced,0.788,0.0,7413,0.774468085106383,0.0,3,2,122,1,0.9837837837837838,0.0,0.6385964912280702,0.0,0.9692860057119543,0.0,279.65,42,500
feature,0.7705,0.013435028842544414,29073,0.7610227326924994,0.015219058788529284,3,2,mixed,2,0.9335149419287485,0.011677458326916022,0.6423550087873462,0.016155339464718973,0.9633887758472347,0.0024479534544969432,937.755,42,1000
