metric,seed_42,seed_123,seed_2024,mean,std
accuracy,0.7452,0.7632,0.7874,0.765267,0.021176
precision,0.9158730158730158,0.9226856561546287,0.9655352480417755,0.934698,0.026922
recall,0.6082220660576247,0.6373858046380886,0.6496837666900913,0.631764,0.021295
f1_score,0.7309966216216216,0.7539484621778886,0.7767275782398656,0.753891,0.022866
roc_auc,0.951503551874595,0.9555305268075672,0.9594955959626015,0.955510,0.003996
